sent0,sent1,labels
He went to the grocery store to buy a red car,He went to the grocery store to buy Apples,1
She read a fish.,She read a book.,1
He lifted a small barbell.,He lifted a moose.,0
The dog put the clothes in the washing machine.,She put the clothes in the washing machine.,1
water makes rich men,money makes rich men,1
If you want to set a cup on a table then you should have a tree.,If you want to set a cup on a table then you should have a table.,1
Going to the zoo is a fun activity for the family.,Letting the children wander on their own in the jungle is a fun activity for the family.,0
The dog leaves the yard.,The dog runs in the yard.,1
water poured through the tap,stones poured through the tap,0
He's cleaning his clothes in the dishwasher,He's cleaning his clothes in the washing machine,1
I didn't want to go home because I didn't study.,I didn't want to go to class because I didn't study.,1
the rock climbed up the tree,The cat climbed up the tree,1
Homosexuality is socially fabricated and made-up.,Homosexuality is a naturally occurring sexual orientation.,1
He put a whole chicken in the microwave.,He put a whole ostrich in the microwave.,0
She went to the hairdresser to have her hair cut,She went to the butcher to have her hair cut,0
You are likely to find rivers in a library,You are likely to find books in a library,1
Babies are good public speakers.,Babies are cute.,1
She fed her baby milk,She fed her baby plastic,0
Trucks are used to fly,Trucks are used to carry many things,1
They put the dinosaur into the kennel.,They put the dog into the kennel.,1
She dyed her hair purple.,She died her hair purple.,0
I brought my dirty clothes to the laundromat.,I brought my dirty clothes to the store.,0
He gave a biscuit to the cat,He gave a nail to the cat,0
he carried the baby in his arms,he carried a car in his arms,0
I live inside a cactus.,I live in a house.,1
He went to the dentist because he was sick,He went to the doctor because he was sick,1
You can start a fire if you boil water.,You can start a fire if you light a match.,1
Hannah was late to school because she missed the helicopter,Hannah was late to school because she missed the bus.,1
Kevin threw his foot.,Kevin stomped his foot.,1
Ice cream is hot,Ice cream is cold,1
You would fly a kite because you want have fun,You would fly a cat because you want have fun,0
Laces can secure a shoe.,Chains can secure a shoe.,0
I used a credit card to pay for lunch.,I used a bill to pay for lunch.,0
He likes to read books.,He likes to read desks.,0
Yams are vegetables,Hammers are vegetables,0
She took a stained cloth for washing,She took a fresh cloth for washing,0
ice is made in the freezer,ice is made in the oven,0
He watched a leopard race a runner.,He watched an athlete race a runner.,1
She flew the big gray tractor to Texas,She flew the big gray aircraft to Texas,1
he used eraser in torch,he used batteries in torch,1
The earth is mostly covered in land.,The earth is mostly covered in water.,1
He scrolls down the web page using mice.,He scrolls down the web page using mouse.,1
He eats a banana in the evening,He eats a pen in the evening,0
The man drove the pig,The man drove the car,1
I climbed the tree to  pick the apple,I climbed the flower to pick the apple,0
She bought her neighbor's red car.,She bought her neighbor's child.,0
Humans use oxygen to breathe,Humans use carbon dioxide to breathe,0
Eighty years old is a mighty old age to be.,Eighty seconds old is a mighty old age to be.,0
A necklace is worn around a neck.,A bracelet is worn on top of a head.,0
He drove a car onto the boat.,He drove a car into the ocean.,0
he took his dog to a vet for treatment,he took his dog to a chef for treatment,0
The chicken had human for lunch,I had chicken nuggets for lunch.,1
Playing guitar is making music,Playing guitar is making pizza,0
the sun shines by day,the sun shines at night,0
he caught a ball in his hands,he caught a car in his hands,0
Highlighters can have different colors.,Highlighters can only be yellow.,0
A whale is walking aside me.,A man is walking aside me.,1
It was too windy so she opened the window.,It was too windy so she closed the window.,1
People go to movie theaters to swim.,People go to movie theaters to watch movies.,1
he defended himself with a gun,he defended himself with a blueberry,0
Hot tea produces steam.,Couches produce steam.,0
I use the computer mouse with my right hand.,I use the computer mouse with my molar teeth with my mouth wide open.,0
Sally used her umbrella to protect herself from the rain.,Sally used her socks to protect herself from the rain.,0
He had a pet dinosaur,He had a pet dog,1
stealing a lot of merchandise can land a person in jail,buying a lot of merchandise can land a person in jail,0
She placed the blanket over her child,She placed the blanket over the state.,0
She walked her dog to the park,She flew her dog to the park,0
Mary ate a rock.,Mary ate an orange.,1
You are likely to find a ferret in a burrow.,You are likely to find a ferret in a candy house,0
Estrogen is a hormone also found in men.,Testosterone is a hormone found in men.,1
Jhoney step in to a saloon for eating food,Jhoney step in to a saloon to cut his hair,1
He checked his watch to see the time.,He checked his sunglasses to see the time.,0
Cowboys used to ride their horses in the mountains,Cowboys used to ride their bears in the mountains,0
he grew vegetable in the paper,he grew vegetable in the pot,1
His house got flooded when the lightning stuck during thunderstorm,His house burned down when the lightning stuck during thunderstorm,1
School is an institution for educating children,School is an institution for accomodation,0
Children are more vulnerable than adults.,Children are more independent than adults.,0
Eggs come from chickens,Eggs come from mammals,0
My sister went to a concert to watch her favorite idol sing,My sister went to a concert to watch her favorite cat sing,0
Trains travel on tracks.,Trains track your browsing history.,0
He went restaurants to eat book,He went restaurants to eat food,1
I brought a science book to study.,I brought a football to study.,0
We drove the car on the highway.,We drove the airplane on the highway.,0
I will go take a shower before mowing the yard.,I will go take a shower after I finish mowing the yard.,1
people cry in a comedy show,people laugh in a comedy show,1
He inserted a hamster into the gun.,He inserted a bullet into the gun.,1
The dog enjoys chewing on a bone.,The dog enjoys chewing on a rock.,0
I want a new computer,I want a new galaxy,0
You can use a pencil to do your homework.,You can use a carrot to do your homework.,0
You need to put a leash on a dog to walk them.,You need to put a earphone on a dog to walk them.,0
mountain bears eat salmon,lions eat salmon,0
He picks his 7-years kid from school regularly.,He picks his 7-years kid from pub regularly.,0
You are likely to find a sidewalk in a mall.,The mall is likely to find you on a sidewalk.,0
I ate a pickle.,I ate a dumbell.,0
It is colder in Alaska than Hawaii.,It is warmer in Alaska than Hawaii.,0
A wall clock is used to wash vessels.,A cell phone is used to make calls.,1
Last night she slept on the fan,last night she slept on the bed,1
I wrote a letter with a pen.,I wrote a letter with a ruler.,0
You can find bananas in a supermarket,You can find a giraffe in a supermarket,0
Bob turned on the TV with his old land line phone.,Bob turned on the TV with the remote.,1
She stuck the flamingo in her car to start the engine.,She stuck the key in her car to start the engine.,1
She packed her chicken with clothes.,She packed her suitcase with clothes.,1
The baby drove all the way to Arkansas.,The man drove all the way to Arkansas.,1
Candace is stoned because she smoked weed,Candace is stoned because she smoked a giraffe,0
Children like to play with sharks,Children like to play with yo yos,1
he played football with his bike,He played football with his friend,1
